word,meaning
𢚸,"['lòng', 'long', 'đắng', 'lời', 'bề', 'nàng', 'đành', 'bụi', 'trời']"
𠊛,"['người', 'từ', 'ngươi', 'ngài', 'thằng']"
𡗶,"['trời', 'nhời', 'giời', 'lời', 'thì']"
𠳒,"['lời', 'nhời', 'trời', 'hàng', 'rằng', 'rày', 'lờị', 'thời', 'ai', 'tiếng', 'điều']"
𠄩,"['hai', 'vài', 'hay', 'hại', 'đôi']"
𠫾,"['đi', 'đị', 'quên', 'đưa']"
𣈜,"['ngày', 'đêm', 'người', 'ngay', 'thì']"
󰑼,"['là', 'ra', 'lạ', 'la', 'trả', 'hiệu']"
𠓨,"['vào', 'bao', 'giữa', 'đỡ', 'bèo']"
𥙩,"['lấy', 'lất', 'lễ', 'trẻ', 'mấy', 'láy']"
𢧚,"['nên', 'lên', 'thành']"
𧡊,"['thấy', 'thấu']"
𡥵,"['con', 'còn']"
𢬣,"['tay', 'thay', 'chỉ', 'tây', 'ta']"
𦋦,"['ra', 'la', 'rả']"
𦖑,"['nghe', 'ngay', 'nghi', 'nổi', 'khoé', 'tai', 'điếc']"
咹,"['ăn', 'hèn']"
𠁀,"['đời', 'đờị']"
𦝄,"['trăng', 'lưng', 'mối', 'giăng', 'nhị', 'răng', 'da', 'gương', 'mây', 'lăng', 'dăng', 'cữ']"
𠀧,"['ba', 'tam', 'bơ', 'bạ']"
𡢐,"['sau', 'sạu', 'lâu', 'sâu', 'sao']"
𨕭,"['trên', 'lên', 'len']"
󰜋,"['một', 'mốt']"
𫥨,"['ra', 'là', 'khoả', 'uy']"
𡽫,"['non', 'nón', 'nôn']"
󰅹,"['nào', 'nao', 'còn', 'chết', 'niêu', 'dâng']"
𫽄,"['chẳng', 'giẳng', 'cực', 'không', 'chăng']"
𠳨,"['hỏi', 'mọi', 'mỏi', 'mòi', 'mõm']"
𩈘,"['mặt', 'mặc', 'mạt', 'mắt']"
𢆥,"['năm', 'nằm', 'niên', 'lăm']"
𩄲,"['mây', 'mưa']"
𨑮,"['mười', 'mươi', 'mời', 'mượi']"
𥪝,"['trong', 'trông', 'lông']"
𨖲,"['lên', 'trên', 'sen', 'len', 'lén']"
𠦳,"['nghìn', 'ngàn', 'đồng', 'mươi', 'thân']"
𢪀,"['nghĩ', 'nghỉ', 'xét', 'ngay', 'ngại', 'ngờ', 'tư', 'nghe', 'dở']"
㛪,"['em', 'êm', 'vợ', 'im', 'yêm']"
𤾓,['trăm']
𧵆,"['gần', 'xa', 'gằn']"
𨀈,"['bước', 'bậc', 'gọt', 'rén', 'khẽ']"
𣈗,"['ngày', 'trời', 'người']"
𦊚,"['bốn', 'bún', 'bón']"
󰠲,"['đâu', 'đậu', 'dâu', 'đẩu']"
𥪞,['trong']
𠄼,"['năm', 'lăm', 'dăm']"
𫯳,"['chồng', 'chờn']"
𦓡,['mà']
󰋇,"['với', 'mấy', 'mẩy', 'bấy', 'mới']"
𠓀,['trước']
𠰺,"['dạy', 'dậy', 'đại', 'đẫy', 'dái', 'đậy']"
󰘚,"['mặt', 'mạt', 'mắt', 'mặc']"
𫅷,"['già', 'dà', 'nà']"
𥹰,"['lâu', 'sau']"
𣘃,"['cây', 'cấy', 'gây', 'hoa', 'gai', 'gãi']"
𨱽,"['dài', 'dậy', 'trường', 'rài']"
䏾,"['bịng', 'bụng', 'bóng', 'vụng', 'cữ', 'bọng', 'phỗng', 'bủng']"
𬂙,"['trông', 'mong', 'trống']"
